atlases,subject,res,label,k,se,sn,j
anusha.nancy.sofia,jon,0.9,104,0.6943,0.7102,0.9999,0.5317
anusha.nancy.sofia,jon,0.9,105,0.3469,0.3636,0.9999,0.2098
anusha.nancy.sofia,jon,0.9,106,0.4650,0.4678,0.9999,0.3030
mallar.nancy.sofia,jon,0.9,1,0.5381,0.5343,0.9999,0.3681
mallar.nancy.sofia,jon,0.9,2,0.5063,0.5450,0.9999,0.3389
mallar.nancy.sofia,jon,0.9,4,0.6315,0.5654,0.9999,0.4615
mallar.nancy.sofia,jon,0.9,5,0.3389,0.4111,0.9999,0.2040
mallar.nancy.sofia,jon,0.9,6,0.4201,0.4563,0.9999,0.2659
mallar.nancy.sofia,jon,0.9,101,0.5697,0.6181,0.9999,0.3983
mallar.nancy.sofia,jon,0.9,102,0.6120,0.6331,0.9999,0.4409
mallar.nancy.sofia,jon,0.9,104,0.6946,0.69,0.9999,0.5321
mallar.nancy.sofia,jon,0.9,105,0.2994,0.3121,0.9999,0.1761
mallar.nancy.sofia,jon,0.9,106,0.4738,0.4502,0.9999,0.3104
anusha.jon.nancy,mallar,0.9,1,0.5697,0.6354,0.9999,0.3983
anusha.jon.nancy,mallar,0.9,2,0.5491,0.5367,0.9999,0.3784
anusha.jon.nancy,mallar,0.9,4,0.6564,0.7210,0.9999,0.4886
anusha.jon.nancy,mallar,0.9,5,0.3916,0.5781,0.9999,0.2435
anusha.jon.nancy,mallar,0.9,6,0.4328,0.5544,0.9999,0.2762
anusha.jon.nancy,mallar,0.9,101,0.5548,0.5629,0.9999,0.3839
anusha.jon.nancy,mallar,0.9,102,0.6485,0.7041,0.9999,0.4798
anusha.jon.nancy,mallar,0.9,104,0.6947,0.7279,0.9999,0.5322
anusha.jon.nancy,mallar,0.9,105,0.5660,0.7086,0.9999,0.3947
anusha.jon.nancy,mallar,0.9,106,0.4782,0.5840,0.9999,0.3143
anusha.jon.sofia,mallar,0.9,1,0.5091,0.5324,0.9999,0.3414
anusha.jon.sofia,mallar,0.9,2,0.5829,0.5800,0.9999,0.4113
anusha.jon.sofia,mallar,0.9,4,0.6148,0.7078,0.9999,0.4439
anusha.jon.sofia,mallar,0.9,5,0.3913,0.5431,0.9999,0.2432
anusha.jon.sofia,mallar,0.9,6,0.3904,0.4964,0.9999,0.2425
anusha.jon.sofia,mallar,0.9,101,0.5251,0.5374,0.9999,0.3560
anusha.jon.sofia,mallar,0.9,102,0.6555,0.7308,0.9999,0.4875
anusha.jon.sofia,mallar,0.9,104,0.6951,0.7312,0.9999,0.5327
