batch,timestamp,atlases,templates,top_n,subject,label,k,se,sn,j,volume
batch_1,2013-12-27.02-54-08-node08_16,5,13,0,16,2,0.89992102,0.8594827586,0.9999669224,0.8180512821,4223
batch_1,2013-12-27.02-54-08-node08_16,5,15,0,16,1,0.8576003942,0.8481968811,0.9999249828,0.7507008842,4014
batch_1,2013-12-27.02-54-08-node08_16,5,15,0,16,2,0.9003731765,0.8579741379,0.9999687522,0.8187988482,4203
batch_1,2013-12-27.02-54-08-node08_16,5,17,0,16,1,0.8568617806,0.8489278752,0.9999234346,0.7495697074,4028
batch_1,2013-12-27.02-54-08-node08_16,5,17,0,16,2,0.8993895546,0.8573275862,0.9999679077,0.8171733772,4206
batch_1,2013-12-27.02-54-08-node08_16,5,19,0,16,1,0.8574591071,0.8494152047,0.9999238568,0.7504843918,4027
batch_1,2013-12-27.02-54-08-node08_16,5,19,0,16,2,0.8995929444,0.8573275862,0.9999681892,0.8175092478,4204
batch_1,2013-12-27.02-54-08-node08_16,5,1,0,16,1,0.856071964,0.8347953216,0.9999332867,0.74836173,3900
batch_1,2013-12-27.02-54-08-node08_16,5,1,0,16,2,0.8617292151,0.8387931034,0.9999294813,0.7570511574,4393
batch_1,2013-12-27.02-54-08-node08_16,5,3,0,16,1,0.8228381658,0.7848440546,0.9999290644,0.6990017361,3725
batch_1,2013-12-27.02-54-08-node08_16,5,3,0,16,2,0.8869209809,0.8418103448,0.9999631219,0.7968176255,4168
batch_1,2013-12-27.02-54-08-node08_16,5,5,0,16,1,0.8487394958,0.8367446394,0.9999220271,0.7372262774,3988
batch_1,2013-12-27.02-54-08-node08_16,5,5,0,16,2,0.8955223881,0.8534482759,0.9999656556,0.8108108108,4204
batch_1,2013-12-27.02-54-08-node08_16,5,7,0,16,1,0.8553165335,0.8477095517,0.9999223086,0.7472079038,4031
batch_1,2013-12-27.02-54-08-node08_16,5,7,0,16,2,0.8980511434,0.8590517241,0.9999646703,0.8149662646,4237
batch_1,2013-12-27.02-54-08-node08_16,5,9,0,16,1,0.8565805658,0.8484405458,0.9999234346,0.7491394148,4026
batch_1,2013-12-27.02-54-08-node08_16,5,9,0,16,2,0.8979545711,0.85625,0.9999667816,0.814807219,4209
batch_1,2013-12-27.02-54-08-node08_16,7,11,0,16,1,0.8753092528,0.86208577,0.9999377906,0.778266608,3980
batch_1,2013-12-27.02-54-08-node08_16,7,11,0,16,2,0.903138406,0.8620689655,0.9999693152,0.8233841087,4218
