hemisphere,kappa,se,sn,jaccard,subject,num_atlases
101,0.8490200302,0.8635268346,0.9998903523,0.7376497006,09,3
1,0.8744568409,0.9263498383,0.9998912052,0.7769198664,13,3
101,0.9028424977,0.9210839078,0.9999293448,0.8228923338,13,3
1,0,0,0.9996254673,0,76,2
101,0,0,0.9996192271,0,76,2
1,0.8726887292,0.8823529412,0.9999173814,0.7741328876,14,3
101,0.8554082518,0.880163182,0.999901903,0.7473479108,14,3
1,0.891956006,0.9248658318,0.9999062588,0.8049824835,23,3
101,0.9048698845,0.9286347518,0.9999213189,0.8262670085,23,3
1,0.8925097276,0.9317085555,0.9999134437,0.8058849363,15,3
101,0.883034237,0.9335306781,0.9999054243,0.7905651778,15,3
1,0.8603340506,0.9149956408,0.9998630455,0.7549001978,22,3
101,0.8344314559,0.8674326116,0.999865158,0.7159008023,22,3
1,0.874246988,0.9079770594,0.9999086597,0.7765886288,31,3
101,0.8879377432,0.9321895425,0.9999134469,0.7984604619,31,3
1,0.851068912,0.8505609931,0.9999125961,0.7407484407,28,3
101,0.858836689,0.9079943236,0.9998771272,0.7525975299,28,3
1,0.8891073965,0.8832211852,0.9999328597,0.8003540519,40,3
101,0.8246666667,0.8020315539,0.9999068198,0.7016449234,40,3
1,0.876912841,0.9152777778,0.9999127441,0.7808056872,46,3
101,0.8470554189,0.9189952904,0.999887559,0.734688755,46,3
1,0.8993988885,0.9064929127,0.9999327212,0.8171887881,57,3
101,0.8893036277,0.8759191176,0.9999424332,0.8006721277,57,3
1,0.853204524,0.8602993585,0.9999073882,0.7439901377,64,3
101,0.7536859191,0.8480974125,0.9998139562,0.6047319297,64,3
1,0.8732326284,0.9280760339,0.9998917701,0.774989275,59,3
101,0.8752669263,0.9009568141,0.9999141482,0.7781996873,59,3
1,0.8308947945,0.8521845651,0.999862758,0.7107100289,67,3
101,0.8540725118,0.8808783924,0.9998764131,0.7453111306,67,3
1,0.8981423502,0.9070404722,0.9999246945,0.8151164993,70,3
101,0.897513266,0.8949989624,0.9999325762,0.8140807852,70,3
1,0.777847703,0.8279742765,0.9998419513,0.6364572606,77,3
101,0.7955445545,0.798112739,0.999881916,0.6605014386,77,3
1,0.8952304394,0.9206392946,0.9999304765,0.8103322823,79,3
101,0.9047745358,0.9042948038,0.9999497563,0.8261080165,79,3
1,0,0,0.9996254494,0,76,3
101,0,0,0.9996192056,0,76,3
1,0.7820224719,0.8668216539,0.9998516773,0.6420664207,03,4
101,0.7451364591,0.7612239062,0.999861237,0.5937987954,03,4
1,0.8933724939,0.9193166886,0.9999256896,0.8072928687,11,4
101,0.9056652807,0.9056652807,0.9999489113,0.8275943956,11,4
1,0.8696887206,0.9294206931,0.9998843098,0.7694240838,13,4
101,0.8877701375,0.9596495885,0.9998927572,0.7981894458,13,4
1,0.8079548129,0.8970472955,0.9998257641,0.6777887463,09,4
101,0.6400322841,0.8768890527,0.999670439,0.4706231454,09,4
1,0.8457711443,0.9071504803,0.9998744615,0.7327586207,14,4
101,0.8596134283,0.9098250336,0.9998917728,0.7537912578,14,4
1,0.9127906977,0.9488793755,0.999927236,0.8395721925,15,4
