file,1,2,4,5,6,101,102,104,105,106,version
anusha,835.11,450.981,488.673,212.031,581.013,861.705,440.91,511.65,203.526,572.211,gold_0.3mm
jon,798.525,408.213,540.594,186.3,616.464,864.756,424.197,654.183,154.818,633.15,gold_0.3mm
mallar,1074.65,378.81,757.107,291.033,916.731,888.705,427.545,768.906,272.106,874.449,gold_0.3mm
nancy,692.874,407.862,576.639,169.182,590.544,747.468,414.963,543.996,141.021,628.884,gold_0.3mm
sofia,970.326,282.987,667.683,226.692,717.147,840.456,271.431,645.597,226.638,741.609,gold_0.3mm
jon,779.151,354.375,610.664,137.637,494.385,779.151,396.299,616.993,139.219,616.993,mb_bravo
mallar,909.669,385.225,611.455,158.203,612.246,848.76,380.479,702.422,165.322,631.231,mb_bravo
nancy,802.092,300.587,563.205,136.055,533.937,798.137,369.405,608.293,127.354,557.668,mb_bravo
sofia,766.495,264.991,621.739,192.217,561.622,741.973,299.004,634.395,155.039,560.04,mb_bravo
anusha,730.728,291.384,621,138.024,558.576,695.952,297.864,664.848,143.856,600.048,mb_0.6mm
jon,812.16,379.728,622.944,123.984,527.472,788.616,408.456,651.024,141.696,640.872,mb_0.6mm
mallar,925.992,377.784,642.384,159.408,624.24,856.224,354.888,725.976,165.24,660.96,mb_0.6mm
nancy,773.712,318.384,519.48,137.376,545.616,769.824,372.6,568.944,132.408,599.616,mb_0.6mm
sofia,754.704,251.424,690.12,197.856,576.072,766.584,284.904,682.128,159.84,581.688,mb_0.6mm
anusha,914.544,449.712,308.016,160.272,739.368,907.2,447.984,353.376,167.616,751.896,gold_0.6mm
jon,771.336,417.96,350.784,185.976,793.368,821.448,425.088,497.448,182.52,800.496,gold_0.6mm
mallar,1175.47,379.728,577.368,270.648,1027.51,898.992,424.872,551.448,281.664,1053.22,gold_0.6mm
nancy,692.496,413.208,317.304,142.128,801.36,744.336,417.744,354.024,123.336,816.48,gold_0.6mm
sofia,1060.34,294.192,371.088,150.984,959.472,844.344,271.512,437.184,208.44,941.112,gold_0.6mm

