label,k,se,sp,j,atlas,template
1,0.8290858078,0.7852081488,0.9999773829,0.7080670927,002_S_0685,013_S_1205
101,0.823400044,0.8357142857,0.9999600064,0.6998130841,002_S_0685,013_S_1205
1,0.6192648243,0.5110717449,0.9999710391,0.4485036922,002_S_0685,011_S_0241
101,0.6406987724,0.6058035714,0.9999412508,0.4713442167,002_S_0685,011_S_0241
1,0.5674197384,0.528343667,0.9999306776,0.3960823373,002_S_0685,011_S_0022
101,0.6513826519,0.6151785714,0.9999436412,0.4830003505,002_S_0685,011_S_0022
1,0.7900918215,0.8193091231,0.9999471348,0.6530180021,002_S_0685,011_S_0005
101,0.7662748644,0.7566964286,0.9999550417,0.6211066325,002_S_0685,011_S_0005
1,0.6420310296,0.5039858282,0.999986301,0.4727877025,002_S_0685,011_S_0003
101,0.6609465818,0.5330357143,0.9999835429,0.4935923936,002_S_0685,011_S_0003
1,0.8336414048,0.7989371125,0.9999755441,0.7147385103,002_S_0685,009_S_1030
101,0.7214611872,0.6348214286,0.999974257,0.5642857143,002_S_0685,009_S_1030
1,0.8239515586,0.8135518158,0.999966534,0.7006102212,002_S_0685,009_S_0751
101,0.5991189427,0.5160714286,0.9999574321,0.427672956,002_S_0685,009_S_0751
1,0.6965950987,0.7112488928,0.9999313212,0.5344425957,002_S_0685,007_S_1222
101,0.7767819035,0.8125,0.999942446,0.6350314027,002_S_0685,007_S_1222
1,0.6628371628,0.5876882197,0.9999614774,0.4957041464,002_S_0685,007_S_1339
101,0.7814602542,0.7,0.9999811524,0.6413087935,002_S_0685,007_S_1339
1,0.8334433443,0.8387953942,0.9999638678,0.7144473783,002_S_0685,007_S_1206
101,0.7890941866,0.7816964286,0.9999589031,0.6516561221,002_S_0685,007_S_1206
1,0.7406063747,0.6328609389,0.9999841864,0.5880658436,002_S_0685,007_S_0698
101,0.6217287867,0.525,0.9999662583,0.4510932106,002_S_0685,007_S_0698
1,0.8777173913,0.8582816652,0.9999797733,0.7820823245,002_S_0685,007_S_0414
101,0.8142717498,0.74375,0.9999828993,0.6867271228,002_S_0685,007_S_0414
1,0.8568961796,0.8790965456,0.9999641436,0.7496223565,002_S_0685,007_S_0293
101,0.8503541238,0.8308035714,0.9999746247,0.7396661367,002_S_0685,007_S_0293
1,0.8489107519,0.8024800709,0.999981704,0.7374847375,002_S_0685,007_S_0316
101,0.8471862491,0.803125,0.9999808766,0.7348856209,002_S_0685,007_S_0316
1,0.826918536,0.7754650133,0.9999792217,0.7049114332,002_S_0685,007_S_0249
101,0.834032634,0.7986607143,0.9999760038,0.7153138745,002_S_0685,007_S_0249
1,0.8641386782,0.8830823738,0.999966626,0.7607783289,002_S_0685,007_S_0070
101,0.8704805492,0.8491071429,0.9999790378,0.7706645057,002_S_0685,007_S_0070
1,0.7292523591,0.667404783,0.9999661663,0.5738766184,002_S_0685,007_S_0101
101,0.87381634,0.8857142857,0.9999708552,0.7759092687,002_S_0685,007_S_0101
1,0.834766442,0.7953941541,0.9999771071,0.7163940965,002_S_0685,007_S_0041
101,0.8602825746,0.85625,0.9999723263,0.7548209366,002_S_0685,007_S_0041
1,0.8268450933,0.9030115146,0.9999416184,0.704804701,002_S_0685,007_S_0068
101,0.8199731303,0.8174107143,0.999963684,0.6948766603,002_S_0685,007_S_0068
1,0.8068283917,0.7953941541,0.9999634081,0.6762048193,002_S_0685,006_S_1130
101,0.8724279835,0.8991071429,0.999966626,0.7737226277,002_S_0685,006_S_1130
1,0.88533794,0.9078830824,0.9999703035,0.7942657885,002_S_0685,006_S_0681
101,0.8737107495,0.8508928571,0.9999800492,0.7757427757,002_S_0685,006_S_0681
1,0.7789972025,0.8015943313,0.999946767,0.6379978851,002_S_0685,006_S_0731
101,0.7824933687,0.7901785714,0.9999527432,0.6427015251,002_S_0685,006_S_0731
1,0.8226322263,0.7404782994,0.9999875882,0.698704555,002_S_0685,006_S_0675
101,0.7993205533,0.7352678571,0.9999784862,0.6657235247,002_S_0685,006_S_0675
1,0.8426550598,0.8573959256,0.9999631323,0.7280932681,002_S_0685,005_S_1341
101,0.8395061728,0.8196428571,0.9999726021,0.7234042553,002_S_0685,005_S_1341
1,0.7856064419,0.691319752,0.9999857494,0.646912557,002_S_0685,005_S_0814
101,0.697080292,0.596875,0.9999761877,0.5350140056,002_S_0685,005_S_0814
1,0.698144233,0.6581045173,0.999952835,0.5362684951,002_S_0685,005_S_0610
101,0.8405450634,0.7848214286,0.9999829912,0.7249484536,002_S_0685,005_S_0610
1,0.8179573513,0.8069087688,0.9999655227,0.6919863274,002_S_0685,005_S_0602
101,0.7934660998,0.7915178571,0.9999580757,0.6576409496,002_S_0685,005_S_0602
1,0.6776902887,0.571744907,0.9999760038,0.5125049623,002_S_0685,005_S_0572
101,0.589807853,0.4727678571,0.9999731537,0.4182464455,002_S_0685,005_S_0572
1,0.8549988965,0.8578387954,0.9999691083,0.7467232074,002_S_0685,005_S_0546
101,0.8545953361,0.834375,0.9999756361,0.7461077844,002_S_0685,005_S_0546
1,0.8779951638,0.8844109832,0.9999729698,0.782523511,002_S_0685,005_S_0553
101,0.8552368245,0.8584821429,0.9999692923,0.7470862471,002_S_0685,005_S_0553
1,0.8584289894,0.8445527015,0.9999744408,0.7519716088,002_S_0685,005_S_0324
101,0.8449682684,0.8321428571,0.9999716827,0.7315541601,002_S_0685,005_S_0324
1,0.8267558528,0.8210806023,0.9999657066,0.7046750285,002_S_0685,005_S_0448
101,0.8,0.7357142857,0.9999786701,0.6666666667,002_S_0685,005_S_0448
1,0.8122100122,0.7364924712,0.9999840025,0.6837993421,002_S_0685,005_S_0222
101,0.7478134111,0.6870535714,0.9999690164,0.5972060536,002_S_0685,005_S_0222
1,0.8438159561,0.8852967228,0.9999557771,0.7298284045,002_S_0685,003_S_0981
101,0.8537959,0.8459821429,0.9999720504,0.7448899371,002_S_0685,003_S_0981
1,0.8454545455,0.8649247121,0.9999623967,0.7322834646,002_S_0685,003_S_0907
101,0.8622780424,0.8888392857,0.9999644195,0.7578987438,002_S_0685,003_S_0907
1,0.817067635,0.7971656333,0.9999680051,0.6907137375,002_S_0685,002_S_1155
101,0.8288827174,0.8660714286,0.9999539384,0.7077708865,002_S_0685,002_S_1155
1,0.8195505128,0.8317094774,0.999958903,0.6942698706,002_S_0685,002_S_0954
101,0.8279176201,0.8075892857,0.9999704875,0.7063647013,002_S_0685,002_S_0954
1,0.8192990442,0.7971656333,0.9999691083,0.6939090208,002_S_0685,002_S_1018
101,0.7959614933,0.7566964286,0.9999702117,0.6610764431,002_S_0685,002_S_1018
1,0.8340445709,0.7790079717,0.9999815202,0.7153314355,002_S_0685,002_S_0782
101,0.7929841897,0.7165178571,0.9999813363,0.656979124,002_S_0685,002_S_0782
1,0.6627765621,0.6036315323,0.9999547658,0.4956363636,002_S_0685,002_S_0938
101,0.6357388316,0.578125,0.9999504447,0.4659949622,002_S_0685,002_S_0938
1,0.8293339314,0.8188662533,0.9999676373,0.7084291188,002_S_0685,002_S_0729
101,0.646393972,0.5361607143,0.9999747167,0.4775347913,002_S_0685,002_S_0729
1,1,1,1,1,002_S_0685,002_S_0685
101,1,1,1,1,002_S_0685,002_S_0685
1,0.7190892243,0.6014171833,0.9999851977,0.5613890037,002_S_0685,002_S_0619
101,0.7386846712,0.659375,0.9999740731,0.5856463125,002_S_0685,002_S_0619
1,0.7956935403,0.8161273754,0.9999578929,0.6607068607,002_S_0782,116_S_0382
101,0.7745696835,0.8751568381,0.9999436445,0.6320797463,002_S_0782,116_S_0382
1,0.8775554121,0.9030115146,0.9999678212,0.7818251534,002_S_0685,002_S_0413
101,0.8471849866,0.8464285714,0.9999687406,0.7348837209,002_S_0685,002_S_0413
1,0.7153956835,0.6384180791,0.999973798,0.5568996416,002_S_0782,127_S_0431
101,0.5069419722,0.4466750314,0.9999537573,0.3395326657,002_S_0782,127_S_0431
1,0.8524516419,0.839238264,0.9999730617,0.7428459428,002_S_0685,002_S_0295
101,0.807710614,0.7575892857,0.9999756361,0.6774451098,002_S_0685,002_S_0295
1,0.7984477322,0.8454031844,0.9999512735,0.6645135244,002_S_0782,941_S_1202
101,0.5164797825,0.4767879548,0.9999458509,0.3481447549,002_S_0782,941_S_1202
1,0.8174642329,0.8510529019,0.9999586284,0.6912807676,002_S_0782,098_S_0149
101,0.7578947368,0.9033877039,0.9999295786,0.6101694915,002_S_0782,098_S_0149
1,0.8158287705,0.8418079096,0.9999602833,0.6889449348,002_S_0782,094_S_1293
101,0.8011299435,0.8895859473,0.9999514589,0.6682375118,002_S_0782,094_S_1293
1,0.7064570943,0.854134566,0.9998990533,0.5461412151,002_S_0782,094_S_1188
101,0.6746253493,0.8331242158,0.9999066871,0.5090072825,002_S_0782,094_S_1188
1,0.6779874214,0.8305084746,0.9998891241,0.5128449096,002_S_0782,067_S_0056
101,0.6663542643,0.8920953576,0.9998848988,0.4996486297,002_S_0782,067_S_0056
1,0.7984713376,0.8048279404,0.9999622139,0.6645462256,002_S_0782,067_S_0029
101,0.770472895,0.8381430364,0.9999505396,0.626641651,002_S_0782,067_S_0029
1,0.8172757475,0.8212634823,0.9999662592,0.691011236,002_S_0782,057_S_1217
101,0.7052722558,0.7678795483,0.9999399672,0.5447263017,002_S_0782,057_S_1217
1,0.8088347296,0.8181818182,0.9999633172,0.679028133,002_S_0782,021_S_1109
101,0.7708864344,0.8538268507,0.9999470461,0.6271889401,002_S_0782,021_S_1109
1,0.7368421053,0.7046738572,0.9999627656,0.5833333333,002_S_0782,021_S_0642
101,0.8153520701,0.8462986198,0.9999663522,0.6882653061,002_S_0782,021_S_0642
1,0.8134770889,0.7750385208,0.999976648,0.6855974557,002_S_0782,021_S_0753
101,0.8094809481,0.8462986198,0.9999641458,0.6799395161,002_S_0782,021_S_0753
1,0.8121181263,0.8192090395,0.9999645124,0.6836690956,002_S_0782,021_S_0337
101,0.7741023466,0.8588456713,0.9999472299,0.6314575646,002_S_0782,021_S_0337
1,0.8047556143,0.7822290704,0.9999710399,0.6732979664,002_S_0782,021_S_0343
101,0.8363406141,0.8287327478,0.9999775681,0.7187159956,002_S_0782,021_S_0343
1,0.7856275795,0.8310220853,0.999949067,0.6469412235,002_S_0782,021_S_0159
101,0.7909482759,0.9209535759,0.999940243,0.6541889483,002_S_0782,021_S_0159
1,0.7220149254,0.7950693374,0.9999270941,0.5649635036,002_S_0782,020_S_0213
101,0.7537688442,0.8939774153,0.9999299464,0.6048387097,002_S_0782,020_S_0213
1,0.60224,0.4833076528,0.999978211,0.4308608059,002_S_0782,016_S_0991
101,0.7645718007,0.7365119197,0.999972144,0.618871903,002_S_0782,016_S_0991
1,0.79178338,0.8710837185,0.9999410685,0.6553323029,002_S_0782,014_S_0328
101,0.8096181047,0.8977415307,0.9999531137,0.6801330798,002_S_0782,014_S_0328
1,0.7462603878,0.6918335901,0.9999709479,0.595227574,002_S_0782,014_S_1095
101,0.7630733275,0.8193224592,0.9999519186,0.6169107227,002_S_0782,014_S_1095
1,0.7504424779,0.7621982537,0.9999518251,0.6005665722,002_S_0782,013_S_1205
101,0.7117475471,0.8419071518,0.9999232352,0.5524907369,002_S_0782,013_S_1205
1,0.6431034483,0.5747303544,0.9999619381,0.4739517154,002_S_0782,011_S_0241
101,0.6109090909,0.6323713927,0.9999358301,0.4397905759,002_S_0782,011_S_0241
1,0.3294637922,0.3061119671,0.9999011679,0.1972203839,002_S_0782,011_S_0183
101,0.5232014949,0.5269761606,0.9999285674,0.3542808941,002_S_0782,011_S_0183
1,0.2325189553,0.2126348228,0.9998896758,0.1315538608,002_S_0782,011_S_0168
